ID,Nombre,Marca,Categoria,Precio Lista,Precio Venta,Descuento %,URL Imagen,URL Producto
67854,Tricot Manga Longa Gola Midi Listra Diagonal Cinza Mescla,Aramis,Roupas > Tricot > Tricot Manga Longa,699.9,449.9,36,https://aramisnova.vtexassets.com/arquivos/ids/1426365/TR040242_031_1-TRICOT-ML-GOLA-MIDI-LISTRA-DIAGONAL--PA-.jpg?v=638820665472970000,https://www.aramis.com.br/tricot-manga-longa-gola-midi-listra-diagonal-cinza-mescla-tr-04-0242-031/p
67704,Polo Manga Curta Piquet Zíper Branco,Aramis,Roupas > Polos > Polo Manga Curta,299.9,299.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1498672/PO100282_001_1-POLO-PIQUET-ZIPER--PA-.jpg?v=638929768434100000,https://www.aramis.com.br/polo-manga-curta-piquet-ziper-branco-po-10-0282-001/p
74223,Camisa Manga Curta Slim Algodão Flame Soft Amarelo,Aramis,Outlet > Roupas > Camisas > Camisa Manga Curta,549.9,279.9,49,https://aramisnova.vtexassets.com/arquivos/ids/1485377/MC060648_024_1-CAMISA-SLIM-FLAME-SOFT-OUT--MO-.jpg?v=638907045132530000,https://www.aramis.com.br/camisa-manga-curta-slim-algodao-flame-soft-amarelo-mc-06-0648-024/p
70961,Bermuda Alfaiataria Linho Caqui,Aramis,Outlet > Roupas > Bermudas e Shorts,799.9,649.9,19,https://aramisnova.vtexassets.com/arquivos/ids/1478349/BE160018_021_1-BERMUDA-ALFAIATARIA-LINHO--PA-.jpg?v=638893160499430000,https://www.aramis.com.br/bermuda-alfaiataria-linho-caqui-be-16-0018-021/p
69772,Camisa Manga Longa Air Tech Marinho,Urban,Roupas > Camisas > Camisa Manga Longa,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1410299/ML060060_010_1-CAMISA-ML-AIR-SHIRT--MO-.jpg?v=638747870487830000,https://www.aramis.com.br/camisa-manga-longa-air-tech-marinho-ml-06-0060-010/p
70963,Bermuda Resort Linho Bolso Faca Marinho,Aramis,Roupas > Bermudas e Shorts > Bermuda,799.9,499.9,38,https://aramisnova.vtexassets.com/arquivos/ids/1478373/BE160017_010_1-BERMUDA-RESORT-LINHO-BOLSO-FACA--PA-.jpg?v=638893160589930000,https://www.aramis.com.br/bermuda-resort-linho-bolso-faca-marinho-be-16-0017-010/p
76077,Camisa Manga Longa Slim Black Preto,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,599.9,299.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1557290/ML050458_007_1-CAMISA-SL-NS-BLACK-OUT--MO-.jpg?v=639014961688200000,https://www.aramis.com.br/camisa-manga-longa-slim-black-preto-ml-05-0458-007/p
72732,Camisa Manga Curta Oxford Verde,Aramis,Roupas > Camisas > Camisa Manga Curta,369.9,369.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1509692/MC050398_139_1-CAMISA-SL-BDOWN-OXFORD-COPAN--MO-.jpg?v=638933004166530000,https://www.aramis.com.br/camisa-manga-curta-oxford-verde-mc-05-0398-139/p
76227,Camisa Manga Longa Slim Moscou Micro Xadrez Branco Com  Preto,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,599.9,299.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1557995/ML021275_001007_1-CAMISA-SL-MOSCOU-MICRO-XADREZ-OUT--MO-.jpg?v=639025622453570000,https://www.aramis.com.br/camisa-manga-longa-slim-moscou-micro-xadrez-branco-c-preto-ml-02-1275-001-007/p
71486,Regata Tricot Viscose Natural,Aramis,Roupas > Camisetas > Regata,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1534638/TR030058_039_1-REGATA-TRICOT-LINHO--PA-.jpg?v=638963308402070000,https://www.aramis.com.br/regata-tricot-viscose-natural-tr-03-0058-039/p
73393,Camisa Slim Malha Eco Blend Branco,Aramis,Roupas > Camisas > Camisa Manga Longa,799.9,799.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1482364/ML021130_001_1-CAMISA-SL-MALHA-ECO-BLEND--PA-.jpg?v=638901686554000000,https://www.aramis.com.br/camisa-slim-malha-eco-blend-branco-ml-02-1130-001/p
68469,Camisa Manga Curta Super Slim Cetim Com Elastano Branco,Aramis,Roupas > Camisas > Camisa Manga Curta,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1271964/MC060538_001_1-CAMISA-SSLIM-CETIM-COM-ELASTANO--MO-.jpg?v=638551266518500000,https://www.aramis.com.br/camisa-manga-curta-super-slim-cetim-com-elastano-branco-mc-06-0538-001/p
69083,Camisa Manga Longa Move Overshirt Jeans Com Liocel Azul Jeans,Aramis,Roupas > Camisas > Camisa Manga Longa,799.9,799.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1427345/ML200054_145_1-CAMISA-OVERSHIRT-JEANS-COM-LIOCEL--PA-.jpg?v=638820674970200000,https://www.aramis.com.br/camisa-manga-longa-move-overshirt-jeans-com-liocel-azul-jeans-ml-20-0054-145/p
73994,Camisa Regular Algodão Egípcio Fio 50 Azul Forte,Aramis,Roupas > Camisas > Camisa Manga Longa,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1488576/ML021186_374_1-CAMISA-REG-FIO-50-EGIPCIO-PETRONAS--MO-.jpg?v=638917684847200000,https://www.aramis.com.br/camisa-regular-algodao-egipcio-fio-50-azul-forte-ml-02-1186-374/p
69878,Tricot Manga Longa Viscose Jacquard Faixas Preto,Aramis,Outlet > Roupas > Tricots > Tricot Manga Longa,799.9,599.9,25,https://aramisnova.vtexassets.com/arquivos/ids/1368698/TR040245_007_1-TRICOT-ML-VISCOSE-JACQUARD-FAIXAS--PA-.jpg?v=638670968691100000,https://www.aramis.com.br/tricot-manga-longa-viscose-jacquard-faixas-preto-tr-04-0245-007/p
73914,Camisa Manga Longa Algodão Piquet Mercerizada Marinho,Aramis,Roupas > Camisas > Camisa Manga Longa,699.9,699.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1529815/ML021135_010_1-CAMISA-SL-KNIT-PIQUET-MERCERIZADA--PA-.jpg?v=638962152095230000,https://www.aramis.com.br/camisa-manga-longa-algodao-piquet-mercerizada-marinho-ml-02-1135-010/p
71801,Polo Manga Curta Melange Cinza Grafite,Aramis,Roupas > Polos,299.9,269.9,10,https://aramisnova.vtexassets.com/arquivos/ids/1524205/PO100297_634_1-MELANGE-POLO-TSHIRT--PA-.jpg?v=638950359833000000,https://www.aramis.com.br/polo-manga-curta-melange-cinza-grafite-po-10-0297-634/p
76370,Camisa Manga Curta Slim Malha Mista Italia Verde,Aramis,Roupas > Camisas > Camisa Manga Curta,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1593387/MC060685_139_1-CAMISA-SLIM-MALHA-MISTA-ITALIA--MO-.jpg?v=639058246860200000,https://www.aramis.com.br/camisa-manga-curta-slim-malha-mista-italia-verde-mc-06-0685-139/p
64355,Tricot Manga Longa Gola Careca Grafite Mescla,Aramis,Roupas > Tricot > Tricot Manga Longa,469.9,469.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1587959/TR040215_097_1-TRICOT-MANGA-LONGA-GOLA-CARECA--PA-.jpg?v=639052884193970000,https://www.aramis.com.br/tricot-manga-longa-gola-careca-grafite-mescla-tr-04-0215-097/p
70853,Bermuda Chino Clássica Oxford Azul Médio,Aramis,Roupas > Bermudas e Shorts > Bermuda Chino,449.9,449.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1369478/BE130208_126_1-BERMUDA-CHINO-CLASSICA-OXFORD--MO-.jpg?v=638670978747900000,https://www.aramis.com.br/bermuda-chino-classica-oxford-azul-medio-be-13-0208-126/p
73316,Camisa Manga Longa Rib Flex Cinza Escuro,Urban,Roupas > Camisas > Camisa Manga Longa,699.9,699.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1537518/ML060075_373_1-CAMISA-ML-RIB-FLEX--PA-.jpg?v=638968305764700000,https://www.aramis.com.br/camisa-manga-longa-rib-flex-cinza-escuro-ml-06-0075-373/p
70315,Polo Manga Curta Piquet Gola Jacquard Caramelo,Aramis,Roupas > Polos > Polo Manga Curta,339.9,339.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1370046/PO100291_646_1-POLO-PIQUET-GOLA-JACQUARD--PA-.jpg?v=638670980780830000,https://www.aramis.com.br/polo-manga-curta-piquet-gola-jacquard-caramelo-po-10-0291-646/p
75021,Camiseta Manga Curta New Basic Branco,Aramis,Roupas > Camisetas > Camiseta Manga Curta,199.9,199.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1543174/CS120657_001_1-CAMISETA-MC-NEW-BASIC--MO-.jpg?v=638975332867700000,https://www.aramis.com.br/camiseta-manga-curta-new-basic-branco-cs-12-0657-001/p
70387,Camisa Regular Algodão Egípcio Fio 50 Petronas Marrom,Aramis,Roupas > Camisas > Camisa Manga Longa,569.9,569.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1488138/ML020940_035_1-CAMISA-REG-FIO-50-EGIPCIO-PETRONAS--MO-.jpg?v=638917382293870000,https://www.aramis.com.br/camisa-regular-algodao-egipcio-fio-50-petronas-marrom-ml-02-0940-035/p
64993,Kit 2 Meias Invisíveis Preto,Urban,Outlet > Acessorios > Meias,79.9,39.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1192898/ME020009_007_1-KIT-2-MEIAS-INVISIVEIS-UP--PA-.jpg?v=638386744961800000,https://www.aramis.com.br/kit-2-meias-invisiveis-preto-me-02-0009-007/p
74671,Camisa Manga Longa Air Skin Branco,Urban,Roupas > Camisas > Camisa Manga Longa,799.9,799.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1537519/ML060073_001_1-CAMISA-ML-CLASSIC-FLEX--PA-.jpg?v=638968305767830000,https://www.aramis.com.br/camisa-manga-longa-air-skin-branco-ml-06-0073-001/p
59274,Camisa Manga Longa Classic Everyday Branco,Urban,Roupas > Camisas > Camisa Manga Longa,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1402299/ML060026_001_1-CAMISA-ML-CLASSIC-EVERYDAY-R---MO-.jpg?v=638731701714730000,https://www.aramis.com.br/camisa-manga-longa-classic-everyday-branco-ml-06-0026-001/p
73138,Camiseta Manga Curta Pima Performing Elasticwave Marinho,Urban,Roupas > Camisetas,399.9,399.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1474104/CS150122_010_1-CAMISETA-MC-PIMA-PERFORMING-TEXTUR--PA-.jpg?v=638887952948430000,https://www.aramis.com.br/camiseta-manga-curta-pima-performing-elasticwave-marinho-cs-15-0122-010/p
73610,Bermuda Chino Algodão Moline Branco,Aramis,Roupas > Bermudas e Shorts > Bermuda Chino,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1505654/BE130218_001_1-BERMUDA-CHINO-CLASSICA-MOLINE--PA-.jpg?v=638932131780970000,https://www.aramis.com.br/bermuda-chino-algodao-moline-branco-be-13-0218-001/p
67538,Camisa Manga Longa Slim em Veludo Cotelê Cinza,Aramis,Roupas > Camisas > Camisa Manga Longa,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1425919/ML050220_005_1-CAMISA-SLIM-COTELE-EM-ALGODAO--PA-.jpg?v=638820663828770000,https://www.aramis.com.br/camisa-manga-longa-slim-em-veludo-cotele-cinza-ml-05-0220-005/p
74613,Camisa Regular Algodão Nature Oregon Manga Curta Off White Com  Natural,Aramis,Outlet > Roupas > Camisas > Camisa Manga Curta,559.9,279.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1490796/MC050423_129039_1-CAMISA-REG-NATURE-OREGON-OUT--MO-.jpg?v=638920099324500000,https://www.aramis.com.br/camisa-regular-algodao-nature-oregon-manga-curta-off-white-c-natural-mc-05-0423-129-039/p
71617,Polo Piquet Manga Curta Algodão Citrico 116,Aramis,Roupas > Polos > Polo Manga Curta,269.9,269.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1491534/PO100280_692_1-POLO-BASICA-PIQUET--PA-.jpg?v=638921139515670000,https://www.aramis.com.br/polo-piquet-manga-curta-algodao-citrico-116-po-10-0280-692/p
70977,Shorts de Elástico Liso Maquinetado Cáqui,Aramis,Roupas > Beachwear > Short de banho,469.9,399.9,15,https://aramisnova.vtexassets.com/arquivos/ids/1493157/SH040037_021_1-SHORTS-DE-ELASTICO-LISO-MAQUINETADO--PA-.jpg?v=638923546876500000,https://www.aramis.com.br/shorts-de-elastico-liso-maquinetado-caqui-sh-04-0037-021/p
70260,Camisa Manga Longa Slim Piquet de Malha Preto,Aramis,Roupas > Camisas > Camisa Manga Longa,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1519490/ML020937_007_1-CAMISA-SLIM-MALHA-PIQUET-VT--PA-.jpg?v=638943350458000000,https://www.aramis.com.br/camisa-manga-longa-slim-piquet-de-malha-preto-ml-02-0937-007/p
69840,Camisa Manga Curta Mescla Dry Cinza Mescla,Urban,Urban > Roupas > Camisa,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1415849/MC070015_031_1-CAMISA-MC-MESCLA-DRY--MO-.jpg?v=638754275273670000,https://www.aramis.com.br/camisa-manga-curta-mescla-dry-cinza-mescla-mc-07-0015-031/p
72989,Tricot Manga Longa Meio Zíper Logo Surton Grafite Mescla,Aramis,Roupas > Tricot > Tricot Manga Longa,599.9,599.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1590970/TR040241_097_1-TRICOT-ML-MEIO-ZIPER-LOGO-SURTON--PA-.jpg?v=639057462594230000,https://www.aramis.com.br/tricot-manga-longa-meio-ziper-logo-surton-grafite-mescla-tr-04-0241-097/p
74676,Camisa Manga Curta Slim Algodão Flame Soft Preto,Aramis,Outlet > Roupas > Camisas > Camisa Manga Curta,519.9,269.9,48,https://aramisnova.vtexassets.com/arquivos/ids/1556245/MC060648_007_1-CAMISA-SLIM-FLAME-SOFT-OUT--MO-.jpg?v=639011420484170000,https://www.aramis.com.br/camisa-manga-curta-slim-algodao-flame-soft-preto-mc-06-0648-007/p
75631,Polo Manga Curta Malha Quadrile Verde Floresta 115,Aramis,Outlet > Roupas > Polos > Polo Manga Curta,459.9,239.9,48,https://aramisnova.vtexassets.com/arquivos/ids/1557620/PO012884_648_1-POLO-MC-MALHA-QUADRILE-OUT--PA-.jpg?v=639015148923330000,https://www.aramis.com.br/polo-manga-curta-malha-quadrile-verde-floresta-115-po-01-2884-648/p
74980,Polo Manga Curta Softprene Marrom,Urban,Roupas > Polos > Polo Manga Curta,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1550956/PO120039_035_1-POLO-MC-SOFTPRENE--PA-.jpg?v=638997933867300000,https://www.aramis.com.br/polo-manga-curta-softprene-marrom-po-12-0039-035/p
68364,Óculos de Sol Statement Preto,Aramis,Outlet > Acessorios,729.9,399.9,45,https://aramisnova.vtexassets.com/arquivos/ids/1331666/OC010031_007_1-OCULOS-DE-SOL-STATEMENT--PA-.jpg?v=638606420593400000,https://www.aramis.com.br/oculos-de-sol-statement-preto-oc-01-0031-007/p
73800,Camiseta Manga Curta Algodão Básica Preto,Aramis,Roupas > Camisetas > Camiseta Manga Curta,169.9,169.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1513982/CS120598_007_1-MELANGE-BASIC-TSHIRT--PA-.jpg?v=638937267729470000,https://www.aramis.com.br/camiseta-manga-curta-algodao-basica-preto-cs-12-0598-007/p
74636,Carteira Mono Aramis Tabaco,Aramis,Acessórios > Carteiras,199.9,139.9,30,https://aramisnova.vtexassets.com/arquivos/ids/1642866/AC070172_066_01-CARTEIRA-MONO-ARAMIS--PA-.jpg?v=639117734713500000,https://www.aramis.com.br/carteira-mono-aramis-tabaco-ac-07-0172-066/p
72806,Camisa Manga Longa Slim em Veludo Cotelê Cafe,Aramis,Roupas > Camisas > Camisa Manga Longa,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1578982/ML050220_027_1-CAMISA-SLIM-COTELE-EM-ALGODAO--PA-.jpg?v=639047035529430000,https://www.aramis.com.br/camisa-manga-longa-slim-em-veludo-cotele-cafe-ml-05-0220-027/p
72475,Camiseta Manga Curta Malha Croche Off White,Aramis,Outlet > Roupas > Camisetas > Camiseta Manga Curta,399.9,199.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1553415/CS013734_129_1-CAMISETA-MC-MALHA-CROCHE-OUT--PA-.jpg?v=639004509658830000,https://www.aramis.com.br/camiseta-manga-curta-malha-croche-off-white-cs-01-3734-129/p
71115,Shorts Elástico Color Sarjado Areia,Aramis,Roupas > Bermudas e Shorts > Shorts,399.9,399.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1492887/BE130206_018_1-SHORTS-ELASTICO-COLOR-SARJADO--PA-.jpg?v=638923465373200000,https://www.aramis.com.br/shorts-elastico-color-sarjado-areia-be-13-0206-018/p
74291,Camiseta Manga Curta Infantil Special Edition Preto,Aramis Next,Infantil > Roupas > Camisetas > Camiseta Manga Curta,119.9,89.9,25,https://aramisnova.vtexassets.com/arquivos/ids/1573695/CS160026_007_1-CAMISETA-MC-SPECIAL-EDITION--PA-.jpg?v=639045180413900000,https://www.aramis.com.br/camiseta-manga-curta-infantil-special-edition-preto-cs-16-0026-007/p
68560,Polo Piquet Manga Curta Algodão Cinza Mescla,Aramis,Roupas > Polos > Polo Manga Curta,269.9,269.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1618673/PO100280_031_1-POLO-BASICA-PIQUET--PA-.jpg?v=639089392691900000,https://www.aramis.com.br/polo-piquet-manga-curta-algodao-cinza-mescla-po-10-0280-031/p
74646,Camisa Manga Longa Regular Algodão Com Bordado Azul Claro,Aramis,Outlet > Roupas > Camisas > Camisa Manga Longa,599.9,299.9,50,https://aramisnova.vtexassets.com/arquivos/ids/1492016/ML050437_003_1-CAMISA-SL-ALGODAO-LINHO-OUT--MO-.jpg?v=638922007264170000,https://www.aramis.com.br/camisa-manga-longa-regular-algodao-com-bordado-azul-claro-ml-05-0437-003/p
69342,Tênis Aramis Easy Cosmo Hide Preto,Aramis,Calçados > Tênis,499.9,499.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1648308/CD080262_007_1-TENIS-ARAMIS-EASY-COSMO-HIDE--PA-.jpg?v=639124566426070000,https://www.aramis.com.br/tenis-aramis-easy-cosmo-hide-preto-cd-08-0262-007/p
70823,Camisa Manga Longa Slim Flanela Mescla Xadrez Marinho Com Vermelho,Aramis,Roupas > Camisas > Camisa Manga Longa,369.9,369.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1356355/ML050363_010030_1-CAMISA-SL-MESCLA-XADREZ--MO-.jpg?v=638654631149730000,https://www.aramis.com.br/camisa-manga-longa-slim-flanela-mescla-xadrez-marinho-com-vermelho-ml-05-0363-010-030/p
67893,Camiseta Manga Curta Básica Vermelho,Aramis,Roupas > Camisetas > Camiseta Manga Curta,199.9,199.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1282244/CS120537_030_1-CAMISETA-BASICA--PA-.jpg?v=638554579475330000,https://www.aramis.com.br/camiseta-manga-curta-basica-vermelho-cs-12-0537-030/p
70279,Polo Manga Curta Piquet Gola Jacquard Preto,Aramis,Roupas > Polos > Polo Manga Curta,339.9,339.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1369848/PO100291_007_1-POLO-PIQUET-GOLA-JACQUARD--PA-.jpg?v=638670980082970000,https://www.aramis.com.br/polo-manga-curta-piquet-gola-jacquard-preto-po-10-0291-007/p
63890,Camiseta Seamless Jacquard Marinho,Urban,Roupas > Camisetas > Camiseta Manga Curta,269.9,269.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1474169/CS150049_010_1-CAMISETA-MC-JACQUARD-SEAMLESS--PA-.jpg?v=638887953183530000,https://www.aramis.com.br/camiseta-seamless-jacquard-marinho-cs-15-0049-010/p
74352,Bermuda Sarja Chino Infantil Maquinetada Verde Militar,Aramis Next,Infantil > Roupas > Bermudas > Chino,239.9,239.9,0,https://aramisnova.vtexassets.com/arquivos/ids/1575380/BE180013_061_1-BERMUDA-CHINO-SARJA-MAQUINETA-OUT--PA-.jpg?v=639045280863370000,https://www.aramis.com.br/bermuda-sarja-chino-infantil-maquinetada-verde-militar-be-18-0013-061/p
74510,Camiseta Manga Curta Infantil Estampa 1995 Citrico 116,Aramis Next,Infantil > Roupas > Camisetas > Camiseta Manga Curta,139.9,109.9,21,https://aramisnova.vtexassets.com/arquivos/ids/1572882/CS160016_692_1-CAMISETA-MC-ESTAMPA-1995--PA-.jpg?v=639045146207900000,https://www.aramis.com.br/camiseta-manga-curta-infantil-estampa-1995-citrico-116-cs-16-0016-692/p
