ID,Nombre,Marca,Categoria,Precio Lista,Precio Venta,Descuento %,URL Imagen,URL Producto
84284,Polo Slim One,RESERVA,Reserva > Masculino > Polos > Coleção,259,159.9,38,https://lojausereserva.vtexassets.com/arquivos/ids/12586756/0100560014_01.jpg?v=639065075621200000,https://www.usereserva.com/polo-slim-one-0100560-014/p
51137,Polo Piquet Classica,RESERVA,Reserva > Masculino > Polos > Coleção,299,238.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12437238/0096535545_01.jpg?v=639072057868870000,https://www.usereserva.com/polo-piquet-classica-0096535-545/p
89109,Polo Piquet Classica,RESERVA,Reserva > Masculino > Polos > Coleção,299,238.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12437230/0096535353_01.jpg?v=639072057868230000,https://www.usereserva.com/polo-piquet-classica-0096535-353/p
51504,Camiseta Slim Pessego Fresh,RESERVA,Reserva > Masculino > Camisetas > Coleção,259,206.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12459082/0098900040_01.jpg?v=639071948066530000,https://www.usereserva.com/camiseta-slim-pessego-fresh-0098900-040/p
51271,Polo Regular Bristol,RESERVA,Reserva > Masculino > Polos > Coleção,359,359,0,https://lojausereserva.vtexassets.com/arquivos/ids/12446398/0096480004_01.jpg?v=639072055992300000,https://www.usereserva.com/polo-regular-bristol-0096480-004/p
7910,Sunga Reserva Superfit,RESERVA,Reserva > Masculino > Sungas > Coleção,189,189,0,https://lojausereserva.vtexassets.com/arquivos/ids/11319207/0012304040_01.jpg?v=639071130833270000,https://www.usereserva.com/sunga-reserva-superfit-0012304-040/p
62987,Camisa Mc Pf Oxford Color,RESERVA,Reserva > Masculino > Camisas > Coleção,449,269.9,40,https://lojausereserva.vtexassets.com/arquivos/ids/11651033/0046782397_01.jpg?v=639052020989700000,https://www.usereserva.com/camisa-mc-pf-oxford-color-0046782-397/p
98792,Camiseta Reserva Lisa,RESERVA,Reserva > Masculino > Camisetas > Coleção,99,99,0,https://lojausereserva.vtexassets.com/arquivos/ids/12538104/0101722040_01.jpg?v=639095477669170000,https://www.usereserva.com/camiseta-reserva-lisa-0101722-040/p
84285,Camiseta Super Slim One,RESERVA,Reserva > Masculino > Camisetas > Coleção,199,119.9,40,https://lojausereserva.vtexassets.com/arquivos/ids/12447038/0100537014_01.jpg?v=639036820095030000,https://www.usereserva.com/camiseta-super-slim-one-0100537-014/p
51169,Camisa Mc Porto,RESERVA,Reserva > Masculino > Camisas > Coleção,399,318.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12437614/0098601040_01.jpg?v=639071940833730000,https://www.usereserva.com/camisa-mc-porto-0098601-040/p
84240,Calca Moletinho New,RESERVA,Reserva > Masculino > Calças > Coleção,459,412.9,10,https://lojausereserva.vtexassets.com/arquivos/ids/12437529/0100263329_01.jpg?v=639071991317730000,https://www.usereserva.com/calca-moletinho-new-0100263-329/p
62985,Camisa Mc Pf Oxford Color,RESERVA,Reserva > Masculino > Camisas > Coleção,449,269.9,40,https://lojausereserva.vtexassets.com/arquivos/ids/11651037/0046782312_01.jpg?v=639081462808200000,https://www.usereserva.com/camisa-mc-pf-oxford-color-0046782-312/p
83698,Bermuda Moletom Basico New,RESERVA,Reserva > Masculino > Bermudas e Shorts > Coleção,359,286.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12454931/0097788037_01.jpg?v=639072088365800000,https://www.usereserva.com/bermuda-moletom-basico-new-0097788-037/p
39597,Polo Piquet Classica,RESERVA,Reserva > Masculino > Polos > Coleção,299,299,0,https://lojausereserva.vtexassets.com/arquivos/ids/12033348/0067587312_01.jpg?v=639098823913570000,https://www.usereserva.com/polo-piquet-classica-0067587-312/p
71841,Polo Piquet Classica,RESERVA,Reserva > Masculino > Polos > Coleção,299,299,0,https://lojausereserva.vtexassets.com/arquivos/ids/12033421/0067587040_01.jpg?v=639098823919830000,https://www.usereserva.com/polo-piquet-classica-0067587-040/p
51274,Camiseta Regular Bristol,RESERVA,Reserva > Masculino > Camisetas > Coleção,259,259,0,https://lojausereserva.vtexassets.com/arquivos/ids/12446399/0096482004_01.jpg?v=639072056010470000,https://www.usereserva.com/camiseta-regular-bristol-0096482-004/p
83974,Camisa Mc Porto,RESERVA,Reserva > Masculino > Camisas > Coleção,399,318.9,20,https://lojausereserva.vtexassets.com/arquivos/ids/12437538/0098601195_01.jpg?v=639071940844070000,https://www.usereserva.com/camisa-mc-porto-0098601-195/p
44954,Camiseta Fla Maior Do Mundo,RESERVA,Reserva > Masculino > Camisetas > Coleção,219,119.9,45,https://lojausereserva.vtexassets.com/arquivos/ids/12185101/0089007040_01.jpg?v=639036736930430000,https://www.usereserva.com/camiseta-fla-maior-do-mundo-0089007-040/p
63029,Camisa Mc Pf Oxford Color,RESERVA,Reserva > Masculino > Camisas > Coleção,449,269.9,40,https://lojausereserva.vtexassets.com/arquivos/ids/11651020/0046782043_01.jpg?v=639052020984730000,https://www.usereserva.com/camisa-mc-pf-oxford-color-0046782-043/p
84009,Polo Piquet Class Rsv,RESERVA,Reserva > Masculino > Polos > Coleção,459,229.9,50,https://lojausereserva.vtexassets.com/arquivos/ids/12477639/0098803353_01.jpg?v=639129884664800000,https://www.usereserva.com/polo-piquet-class-rsv-0098803-353/p
89186,Sunga Canelada,RESERVA,Reserva > Masculino > Sungas > Coleção,259,180.9,30,https://lojausereserva.vtexassets.com/arquivos/ids/12493144/0097928040_01.jpg?v=639071894132800000,https://www.usereserva.com/sunga-canelada-0097928-040/p
83375,Polo Regular Bristol,RESERVA,Reserva > Masculino > Polos > Coleção,359,179.9,50,https://lojausereserva.vtexassets.com/arquivos/ids/12446477/0096480040_01.jpg?v=639072055996870000,https://www.usereserva.com/polo-regular-bristol-0096480-040/p
81964,Camiseta Pima Diagonal,RESERVA,Reserva > Masculino > Camisetas > Coleção,399,199.9,50,https://lojausereserva.vtexassets.com/arquivos/ids/12371205/0092967514_01.jpg?v=639072036424800000,https://www.usereserva.com/camiseta-pima-diagonal-0092967-514/p
90684,Camisa Mc Flame Leve,RESERVA,Reserva > Masculino > Camisas > Promoção,399,358.9,10,https://lojausereserva.vtexassets.com/arquivos/ids/12438369/0098060545_01.jpg?v=639071906675700000,https://www.usereserva.com/camisa-mc-flame-leve-0098060-545/p
84469,Camisa Oxford Color Ml,RESERVA,Reserva > Masculino > Camisas > Coleção,499,499,0,https://lojausereserva.vtexassets.com/arquivos/ids/11651510/0046781397_01.jpg?v=639098813240630000,https://www.usereserva.com/camisa-oxford-color-ml-0046781-397/p
51347,Camiseta Super Slim One,RESERVA,Reserva > Masculino > Camisetas > Coleção,199,119.9,40,https://lojausereserva.vtexassets.com/arquivos/ids/12446990/0100537040_01.jpg?v=639081462883730000,https://www.usereserva.com/camiseta-super-slim-one-0100537-040/p
51175,Calca Sarja Combat,RESERVA,Reserva > Masculino > Calças > Coleção,459,412.9,10,https://lojausereserva.vtexassets.com/arquivos/ids/12437533/0099885022_01.jpg?v=639036817752100000,https://www.usereserva.com/calca-sarja-combat-0099885-022/p
