ID,Nombre,Marca,Categoria,Precio Lista,Precio Venta,Descuento %,URL Imagen,URL Producto
2015,Pack 3 Cuecas Trunk,Tommy Hilfiger,Underwear > Cuecas,349,349,0,https://tommyhilfiger.vtexassets.com/arquivos/ids/240125/THU09TQ002_TH608_1.jpg?v=637710240457400000,https://br.tommy.com/pack-3-cuecas-trunk-thu09tq002_th608/p
13040,Camiseta relaxed com estampa gráfica e logo nas costas,Tommy Jeans,Roupas > Camisetas,249,149.9,40,https://tommyhilfiger.vtexassets.com/arquivos/ids/483457/ABDM0DM20768_TJYBH_1.jpg?v=638963132330000000,https://br.tommy.com/camiseta-relaxed-com-estampa-grafica-e-logo-nas-costas-abdm0dm20768_tjybh/p
9113,Kit Pijama 3 Camisetas Gola C,Tommy Hilfiger,Underwear > Pijamas,469,328.3,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/366860/THUM0UM03138_TH0XS_1.jpg?v=638449168322000000,https://br.tommy.com/kit-pijama-3-camisetas-gola-c-thum0um03138_th0xs/p
7196,Camiseta Clássica Gola C,Tommy Hilfiger,Roupas > Camisetas,319,199,38,https://tommyhilfiger.vtexassets.com/arquivos/ids/311877/THMW0MW32314_THYBR_1.jpg?v=638144068553600000,https://br.tommy.com/camiseta-classica-gola-c-thmw0mw32314_thybr/p
13037,Calça Jeans Reta,Tommy Jeans,Roupas > Calças,499,349,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/488319/ABDM0DM21326_TJ1AB_2.jpg?v=638996809199670000,https://br.tommy.com/calca-jeans-reta-abdm0dm21326_tj1ab/p
2679,Pack 3 Cuecas Trunk,Tommy Hilfiger,Underwear > Cuecas,349,349,0,https://tommyhilfiger.vtexassets.com/arquivos/ids/261677/THU09TQ002_TH992_1.jpg?v=637872714171930000,https://br.tommy.com/pack-3-cuecas-trunk-thu09tq002_th992/p
3061,Cueca Boxer Interlock,Tommy Hilfiger,Underwear > Cuecas,389,272.3,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/266258/THU09T3357_TH074_1.png?v=637880617984070000,https://br.tommy.com/cueca-boxer-interlock-thu09t3357_th074/p
12377,Camiseta Clássica Interlock Light,Tommy Hilfiger,Roupas > Camisetas,429,299,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/470097/THMW0MW37508_THYBR_1.jpg?v=638948582898330000,https://br.tommy.com/camiseta-classica-interlock-light-thmw0mw37508_thybr/p
13036,Calça Jeans Reta Regular Otis,Tommy Jeans,Roupas > Calças,449,309,31,https://tommyhilfiger.vtexassets.com/arquivos/ids/483433/ABDM0DM21021_TJ1BK_1.jpg?v=638963132178200000,https://br.tommy.com/calca-jeans-reta-regular-otis-abdm0dm21021_tj1bk/p
13154,Carteira de Couro com detalhe de Logo,Tommy Hilfiger,Acessórios,779,549,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/491457/THAM0AM13971_THGVI_1.jpg?v=639114414352500000,https://br.tommy.com/carteira-de-couro-com-detalhe-de-logo-tham0am13971_thgvi/p
12883,Polo Logo Linear Regular Fit Tommy Jeans,Tommy Jeans,Roupas > Polos,399,279,30,https://tommyhilfiger.vtexassets.com/arquivos/ids/485694/ABDM0DM20914_TJDY6_1.jpg?v=638993509055570000,https://br.tommy.com/polo-logo-linear-regular-fit-tommy-jeans-abdm0dm20914_tjdy6/p
